Quarter,RG1,RG2,RG3,Share Price,GDP,Inflation,Interest
2024 Q3,1.216814159,0.054674686,-8.682634731,11.76470588,0.9,4.76,2.380952381
2024 Q2,-1.148168398,-9.780439122,-6.369756603,4.508196721,1.4,4.23,-2.325581395
2024 Q1,-8.73253493,-5.282237183,2.637485971,11.9266055,1,3.93,-8.510638298
2023 Q4,3.78042465,12.45791246,20.36036036,-8.691099476,0.2,4.62,-7.843137255
2023 Q3,8.361391695,15.97597598,10.65902579,-3.437815976,0.1,5.19,-7.272727273
2023 Q2,7.027027027,2.12034384,1.25,12.38636364,0.7,3.16,0
2023 Q1,-4.584527221,-5.397727273,-0.23966447,2.68378063,1.8,4.65,0
2022 Q4,-0.852272727,4.553624925,16.17842876,3.502415459,0.1,5.79,0
2022 Q3,5.452366687,17.1770972,2.206736353,3.759398496,0.4,7.17,3.773584906
2022 Q2,11.11850866,-3.077816492,-8.447613823,-11.33333333,1.3,11.89,12.76595745
2022 Q1,-12.77584204,-17.6083379,8.213256484,15.97938144,1,11.3,27.02702703
2021 Q4,-5.540318157,24.06340058,32.35972329,-6.506024096,1,10.06,48
2021 Q3,31.34005764,40.12298232,47.85077048,15.59888579,0.2,10.25,47.05882353
2021 Q2,6.68716372,12.57096513,17.13080169,3.757225434,-0.7,8.35,54.54545455
2021 Q1,5.515004055,9.789029536,17.52484192,-10.47865459,1.1,6.1,37.5
2020 Q4,4.050632911,11.38211382,-9.934258583,44.21641791,3.7,4.52,0
2020 Q3,7.046070461,-13.44046749,-23.10188189,-4.62633452,8,3.14,-11.11111111
2020 Q2,-19.13805698,-28.16353018,-27.74151436,23.78854626,-9,2.13,-40
2020 Q1,-11.16158339,-10.63968668,-23.56225572,-35.41963016,-2.2,3.3,-16.66666667
2019 Q4,0.587467363,-13.9586823,-1.847133758,-3.698630137,0.8,4.31,-18.18181818
2019 Q3,-14.46119486,-2.420382166,6.241331484,-4.325032765,0.1,2.89,-15.38461538
2019 Q2,14.07643312,24.20249653,12.78337531,7.768361582,0.3,3.37,0
2019 Q1,8.876560333,-1.133501259,1.948051948,-2.880658436,0.5,4.58,0
2018 Q4,-9.19395466,-6.363636364,-5.256241787,104.2016807,-0.4,3.75,0
2018 Q3,3.116883117,4.336399474,-21.42503711,-4.032258065,0.8,4.53,0
2018 Q2,1.182654402,-23.80009896,-5.172413793,-14.67889908,0.4,4.39,0
2018 Q1,-24.69074715,-6.280788177,-6.165228113,22.81690141,0.3,2.68,-7.142857143
2017 Q4,24.44581281,24.59926017,31.91906005,-9.898477157,0.5,2.95,-15.15151515
2017 Q3,0.123304562,6.005221932,18.54014599,-1.253132832,0.4,2.54,-19.51219512
2017 Q2,5.874673629,18.39416058,7.417218543,-21.76470588,0.6,3,-16.32653061
2017 Q1,11.82481752,1.456953642,12.81296024,33.85826772,1.1,4.57,-10.90909091
2016 Q4,-9.271523179,0.88365243,19.75524476,-10.14150943,0,6.29,-3.50877193
2016 Q3,11.19293078,31.99300699,14.30734292,17.77777778,-0.8,8.48,0
2016 Q2,18.70629371,2.800908403,-0.366837858,-9.547738693,0.8,8.84,0
2016 Q1,-13.3989402,-16.06749817,-34.85193622,31.35313531,-1.6,9.39,0
2015 Q4,-3.081438004,-24.77220957,-35.87378641,-12.17391304,-0.8,10.67,0
2015 Q3,-22.38041002,-33.83495146,-45.63222976,-41.12627986,-1.6,9.49,3.636363636
2015 Q2,-14.75728155,-29.95612286,19.29347826,-7.278481013,-2.7,8.89,7.843137255
2015 Q1,-17.83007579,39.94565217,-2.369668246,-2.91858679,-0.6,8.13,8.510638298
2014 Q4,70.3125,18.81516588,24.17038138,-12.14574899,0.5,6.41,0
2014 Q3,-30.23696682,-27.09262011,-43.90243902,-7.142857143,0,6.75,6.818181818
2014 Q2,4.507181773,-19.58841463,35.86606568,5.835543767,-1.8,6.52,2.325581395
2014 Q1,-23.05640244,30.00643915,34.86973948,8.959537572,1.1,6.15,7.5
2013 Q4,68.96329684,75.28390114,44.57300275,-4.814305365,0.1,5.91,11.11111111
2013 Q3,3.740814963,-14.43526171,-40.70255823,-4.593175853,0.2,5.86,12.5
2013 Q2,-17.52066116,-42.84077892,-37.02145562,-4.0302267,1.8,6.7,10.34482759
2013 Q1,-30.69873998,-23.64324779,-19.76127321,3.116883117,0.4,6.59,0
2012 Q4,10.18090029,15.78249337,11.44680851,-7.004830918,-0.1,5.84,-3.333333333
2012 Q3,5.083996463,1.14893617,7.556561086,-34.07643312,1.9,5.28,-11.76470588
2012 Q2,-3.744680851,2.352941176,-9.411293552,7.35042735,1.5,4.92,-12.82051282
2012 Q1,6.334841629,-5.887064477,-1.960784314,31.31313131,-1.3,5.2,-11.36363636
2011 Q4,-11.49379255,-7.80141844,8.546168959,20.08086253,1,6.5,-8.333333333
2011 Q3,4.171881519,22.64243615,11.6726297,-12.5,-0.2,7.31,-2.040816327
2011 Q2,17.73084479,7.200357782,28.66344605,2.53929867,0.7,6.71,4.255319149
2011 Q1,-8.944543828,9.286097692,22.35576923,15.66433566,1.6,6.3,9.302325581
2010 Q4,20.02147075,34.375,36.5913256,-2.721088435,1.4,5.91,0
2010 Q3,11.95913462,13.80574221,8.376963351,5,0.9,4.7,4.87804878
2010 Q2,1.649358583,-3.199534613,-4.202648244,-2.64255911,0.9,4.84,17.14285714
2010 Q1,-4.770215241,-5.757052389,7.626561473,-6.501950585,2.4,5.17,0
