Date,Price,Open,High,Low,Vol.,Change %
23/12/2022,10.4899,10.4633,10.5649,10.4275,,0.38%
26/12/2022,10.4353,10.4838,10.5202,10.447,,-0.52%
27/12/2022,10.4349,10.4607,10.5151,10.4334,,0.00%
28/12/2022,10.5012,10.4625,10.5137,10.4159,,0.64%
29/12/2022,10.5253,10.5037,10.5629,10.4894,,0.23%
30/12/2022,10.4842,10.5394,10.614,10.4137,,-0.39%
02/01/2023,10.4957,10.58,10.61,10.4413,,0.11%
03/01/2023,10.6348,10.5143,10.6513,10.4541,,1.33%
04/01/2023,10.6902,10.6467,10.7514,10.5986,,0.52%
05/01/2023,10.763,10.6968,10.8294,10.6616,,0.68%
06/01/2023,10.6425,10.781,10.8341,10.5884,,-1.12%
09/01/2023,10.6305,10.6779,10.7252,10.5277,,-0.11%
10/01/2023,10.7147,10.6694,10.7367,10.5802,,0.79%
11/01/2023,10.7245,10.7183,10.7804,10.6994,,0.09%
12/01/2023,10.7263,10.7551,10.8195,10.6919,,0.02%
13/01/2023,10.7196,10.7279,10.7736,10.6639,,-0.06%
16/01/2023,10.7281,10.7014,10.7718,10.6302,,0.08%
17/01/2023,10.6343,10.7356,10.7712,10.6367,,-0.87%
18/01/2023,10.6836,10.6475,10.7608,10.5995,,0.46%
19/01/2023,10.6974,10.6833,10.7767,10.6634,,0.13%
20/01/2023,10.6934,10.7152,10.7727,10.683,,-0.04%
23/01/2023,10.6568,10.7379,10.7675,10.6362,,-0.34%
24/01/2023,10.7135,10.6684,10.7879,10.6509,,0.53%
25/01/2023,10.8005,10.734,10.846,10.7128,,0.81%
26/01/2023,10.7297,10.8102,10.8325,10.73,,-0.66%
27/01/2023,10.729,10.7459,10.7929,10.7182,,-0.01%
30/01/2023,10.8147,10.7599,10.8309,10.701,,0.80%
31/01/2023,10.8391,10.8196,10.9309,10.8105,,0.23%
01/02/2023,10.8819,10.8518,10.9676,10.8161,,0.39%
02/02/2023,10.9617,10.8941,10.9816,10.8708,,0.73%
03/02/2023,11.0203,10.967,11.0598,10.9437,,0.53%
06/02/2023,11.0847,11.0219,11.1102,11.0029,,0.58%
07/02/2023,11.0612,11.091,11.1547,11.0479,,-0.21%
08/02/2023,11.0406,11.0656,11.0932,10.9937,,-0.19%
09/02/2023,10.934,11.0622,11.0779,10.8812,,-0.97%
10/02/2023,10.8299,10.9302,10.9558,10.8019,,-0.95%
13/02/2023,10.8189,10.821,10.8938,10.7957,,-0.10%
14/02/2023,10.8751,10.8275,10.9434,10.8149,,0.52%
15/02/2023,10.9029,10.8798,10.9621,10.8497,,0.26%
16/02/2023,10.9242,10.9204,10.9932,10.875,,0.20%
17/02/2023,10.9966,10.9416,11.0253,10.9274,,0.66%
20/02/2023,10.9141,10.985,11.0302,10.9135,,-0.75%
21/02/2023,10.9674,10.9359,11.017,10.9143,,0.49%
22/02/2023,10.9792,10.9776,11.0089,10.954,,0.11%
23/02/2023,10.9181,10.9831,11.0022,10.8926,,-0.56%
24/02/2023,10.9554,10.9223,10.9836,10.9037,,0.34%
27/02/2023,10.9665,10.9541,11.0145,10.8959,,0.10%
28/02/2023,10.9749,10.9696,10.9999,10.9455,,0.08%
01/03/2023,11.0621,10.9853,11.13,10.9299,,0.79%
02/03/2023,11.0203,11.0689,11.1339,11.0262,,-0.38%
03/03/2023,11.0357,11.0639,11.1245,11.0174,,0.14%
06/03/2023,11.1183,11.0463,11.1456,11.0142,,0.75%
07/03/2023,11.2679,11.1161,11.3071,11.0995,,1.35%
08/03/2023,11.1876,11.2879,11.3068,11.193,,-0.71%
09/03/2023,11.2803,11.2317,11.2933,11.1941,,0.83%
10/03/2023,11.3054,11.284,11.3705,11.2313,,0.22%
13/03/2023,11.3059,11.3087,11.4332,11.2471,,0.00%
14/03/2023,11.304,11.3091,11.4066,11.2726,,-0.02%
15/03/2023,11.377,11.3067,11.4292,11.2774,,0.65%
16/03/2023,11.4074,11.3767,11.5336,11.3399,,0.27%
17/03/2023,11.3789,11.4149,11.4535,11.3275,,-0.25%
20/03/2023,11.4055,11.4051,11.489,11.3443,,0.23%
21/03/2023,11.3511,11.414,11.4576,11.2846,,-0.48%
22/03/2023,11.3515,11.3603,11.4385,11.2506,,0.00%
23/03/2023,11.2213,11.367,11.3713,11.1992,,-1.15%
24/03/2023,11.2497,11.2513,11.3644,11.2283,,0.25%
27/03/2023,11.299,11.2952,11.3659,11.2553,,0.44%
28/03/2023,11.2292,11.3021,11.3286,11.219,,-0.62%
29/03/2023,11.2645,11.2302,11.3124,11.2153,,0.31%
30/03/2023,11.3332,11.2831,11.3747,11.2692,,0.61%
31/03/2023,11.3374,11.34,11.4248,11.2992,,0.04%
03/04/2023,11.2044,11.3477,11.3918,11.2092,,-1.17%
04/04/2023,11.2868,11.225,11.3091,11.2001,,0.74%
05/04/2023,11.3818,11.3002,11.4272,11.2734,,0.84%
06/04/2023,11.3953,11.3891,11.4233,11.3546,,0.12%
07/04/2023,11.3985,11.4109,11.4746,11.3881,,0.03%
10/04/2023,11.4326,11.4432,11.4736,11.3996,,0.30%
11/04/2023,11.5077,11.4299,11.5761,11.3997,,0.66%
12/04/2023,11.4747,11.5192,11.5526,11.4294,,-0.29%
13/04/2023,11.3804,11.4772,11.49,11.3614,,-0.82%
14/04/2023,11.3886,11.3854,11.4511,11.3683,,0.07%
17/04/2023,11.4385,11.4184,11.471,11.3558,,0.44%
18/04/2023,11.4749,11.4504,11.5121,11.4333,,0.32%
19/04/2023,11.5839,11.4739,11.5978,11.464,,0.95%
20/04/2023,11.6127,11.5913,11.6464,11.5816,,0.25%
21/04/2023,11.5978,11.6175,11.6945,11.5775,,-0.13%
24/04/2023,11.6284,11.6186,11.6868,11.6003,,0.26%
25/04/2023,11.7051,11.6353,11.736,11.5841,,0.66%
26/04/2023,11.7402,11.7165,11.7688,11.6868,,0.30%
27/04/2023,11.7004,11.7513,11.7829,11.6613,,-0.34%
28/04/2023,11.7262,11.7098,11.835,11.6769,,0.22%
01/05/2023,11.7737,11.7862,11.838,11.705,,0.41%
02/05/2023,11.8858,11.7956,11.9024,11.7406,,0.95%
03/05/2023,11.8868,11.8966,11.9654,11.8188,,0.01%
04/05/2023,11.7638,11.8961,11.93,11.757,,-1.03%
05/05/2023,11.6304,11.8022,11.825,11.6353,,-1.13%
08/05/2023,11.5443,11.6746,11.701,11.5414,,-0.74%
09/05/2023,11.6004,11.5541,11.6291,11.5366,,0.49%
10/05/2023,11.5288,11.612,11.6409,11.474,,-0.62%
11/05/2023,11.6566,11.5372,11.6658,11.4773,,1.11%
12/05/2023,11.5843,11.6608,11.7107,11.5658,,-0.62%
15/05/2023,11.5154,11.5792,11.6363,11.5158,,-0.59%
16/05/2023,11.6416,11.5255,11.6707,11.512,,1.10%
17/05/2023,11.6826,11.6447,11.731,11.6285,,0.35%
18/05/2023,11.7373,11.6853,11.7873,11.6553,,0.47%
19/05/2023,11.7363,11.7411,11.786,11.678,,-0.01%
22/05/2023,11.7569,11.7627,11.8048,11.7084,,0.18%
23/05/2023,11.7963,11.7773,11.8601,11.7319,,0.34%
24/05/2023,11.7468,11.8006,11.8492,11.7572,,-0.42%
25/05/2023,11.844,11.7724,11.8738,11.7333,,0.83%
26/05/2023,11.8788,11.8489,11.9195,11.7626,,0.29%
29/05/2023,11.8884,11.9262,11.9612,11.8475,,0.08%
30/05/2023,11.986,11.8952,12.15,11.8663,,0.82%
31/05/2023,11.8463,12.0086,12.0662,11.8388,,-1.17%
01/06/2023,11.8927,11.8523,11.9823,11.8109,,0.39%
02/06/2023,11.7729,11.8982,11.9528,11.7313,,-1.01%
05/06/2023,11.8076,11.7994,11.856,11.7453,,0.29%
06/06/2023,11.8622,11.8244,11.9093,11.7906,,0.46%
07/06/2023,11.794,11.8671,11.8974,11.7842,,-0.57%
