Date,Price,Open,High,Low,Vol.,Change %
23/12/2022,11.1775,11.0958,11.1917,11.0467,,0.80%
26/12/2022,11.153,11.1727,11.2053,11.1314,,-0.22%
27/12/2022,11.1362,11.1653,11.1875,11.1046,,-0.15%
28/12/2022,11.1162,11.1469,11.1601,11.0579,,-0.18%
29/12/2022,11.1459,11.1203,11.1688,11.1018,,0.27%
30/12/2022,11.1384,11.1572,11.1819,11.0749,,-0.07%
02/01/2023,11.1521,11.1569,11.2074,11.125,,0.12%
03/01/2023,11.148,11.1548,11.1763,11.1039,,-0.04%
04/01/2023,11.131,11.1527,11.1935,11.1214,,-0.15%
05/01/2023,11.2358,11.1427,11.2732,11.1257,,0.94%
06/01/2023,11.1847,11.2507,11.2955,11.1833,,-0.45%
09/01/2023,11.1589,11.2162,11.2312,11.1344,,-0.23%
10/01/2023,11.1751,11.1574,11.209,11.1319,,0.15%
11/01/2023,11.2538,11.1803,11.2868,11.1553,,0.70%
12/01/2023,11.2869,11.2633,11.3435,11.2271,,0.29%
13/01/2023,11.2633,11.2885,11.3251,11.2327,,-0.21%
16/01/2023,11.253,11.2654,11.2982,11.199,,-0.09%
17/01/2023,11.2375,11.2771,11.3078,11.2219,,-0.14%
18/01/2023,11.1521,11.2412,11.2866,11.1009,,-0.76%
19/01/2023,11.161,11.1556,11.2021,11.0941,,0.08%
20/01/2023,11.1692,11.1714,11.2027,11.1438,,0.07%
23/01/2023,11.1136,11.2102,11.2126,11.1126,,-0.50%
24/01/2023,11.1031,11.1281,11.1483,11.0735,,-0.09%
25/01/2023,11.1367,11.1124,11.1867,11.0921,,0.30%
26/01/2023,11.1728,11.1404,11.2113,11.12,,0.32%
27/01/2023,11.1993,11.1827,11.2367,11.1733,,0.24%
30/01/2023,11.2689,11.2389,11.2997,11.1813,,0.62%
31/01/2023,11.3595,11.2773,11.406,11.26,,0.80%
01/02/2023,11.3658,11.3688,11.4142,11.3231,,0.06%
02/02/2023,11.3045,11.3685,11.3947,11.2873,,-0.54%
03/02/2023,11.3713,11.3155,11.4154,11.2968,,0.59%
06/02/2023,11.4,11.3698,11.4447,11.3449,,0.25%
