Date,Price,Open,High,Low,Vol.,Change %
12/23/2022,156.29,155.37,156.37,154.87,,0.48%
12/27/2022,156.28,156.36,157.38,156.26,,-0.01%
12/28/2022,155.74,156.45,158.65,155.21,,-0.35%
12/29/2022,155.62,154.92,156.19,153.89,,-0.08%
12/30/2022,153.49,155.3,155.6,153.49,,-1.37%
01/02/2023,155.26,153.7,155.54,153.7,,1.15%
01/03/2023,155.82,155.55,160.11,155.01,,0.36%
01/04/2023,150.74,154.74,154.74,150.57,,-3.26%
01/05/2023,151.84,150.48,152.48,150.33,,0.73%
01/06/2023,154.51,152.35,154.82,152.35,,1.76%
01/09/2023,154.77,154.63,156.39,154.39,,0.17%
01/10/2023,154.08,154.18,155.67,153.55,,-0.45%
01/11/2023,154.91,154.24,155.76,154,,0.54%
01/12/2023,156.62,155.37,157.19,155.26,,1.10%
01/13/2023,157.13,156.62,158.34,156.62,,0.33%
01/16/2023,156.03,157.49,158.09,155.85,,-0.70%
01/17/2023,157.24,156.07,157.76,154.53,,0.78%
01/18/2023,157.95,156.7,158.92,156.58,,0.45%
01/19/2023,154.79,156.73,156.73,153.66,,-2.00%
01/20/2023,155.39,154.48,156.99,154.48,,0.39%
01/23/2023,155.94,155.1,156.38,154.51,,0.35%
01/24/2023,153.8,156,156.13,153.12,,-1.37%
01/25/2023,152.81,153.86,154.24,151.2,,-0.64%
01/26/2023,154.21,153.06,154.63,152.81,,0.92%
01/27/2023,155.88,155.21,156.99,155.21,,1.08%
01/30/2023,155.11,155.23,155.62,153.88,,-0.49%
01/31/2023,153.84,155.04,155.04,152.25,,-0.82%
02/01/2023,152.45,153.76,154.94,152.27,,-0.90%
02/02/2023,149.37,152.1,153.07,149.15,,-2.02%
02/03/2023,151.72,149.36,153.29,149.06,,1.57%
02/06/2023,150.33,151.75,152.18,149.63,,-0.92%
02/07/2023,155.71,151.35,155.71,151.35,,3.58%
02/08/2023,157.33,156.09,159.14,156.09,,1.04%
02/09/2023,160.15,157.8,160.46,157.8,,1.79%
02/10/2023,164.52,160,165.13,158.82,,2.73%
02/13/2023,164.52,164.4,164.88,163.11,,0.00%
02/14/2023,165.37,164.56,166.31,164.18,,0.52%
02/15/2023,164.5,164.86,165.37,163.95,,-0.53%
02/16/2023,165.44,164.55,165.49,163.61,,0.57%
02/17/2023,162.21,164.78,164.78,161.58,,-1.95%
02/20/2023,162.13,161.97,162.88,161.73,,-0.05%
02/21/2023,161.03,162.17,162.57,160.03,,-0.68%
02/22/2023,159.1,161.14,161.14,158.47,,-1.20%
02/23/2023,160.66,159.15,161.87,158.4,,0.98%
02/24/2023,160.17,161.18,162.77,159.84,,-0.30%
02/27/2023,162.57,160.54,163.37,160.54,,1.50%
02/28/2023,162,162.87,163.74,162,,-0.35%
03/01/2023,160.84,161.5,163.09,160.61,,-0.72%
03/02/2023,163.67,161.21,163.88,161.19,,1.76%
03/03/2023,162.91,163.84,163.87,159.73,,-0.46%
03/06/2023,163.57,163.01,163.9,162.73,,0.41%
03/07/2023,162.65,164.26,164.43,162.42,,-0.56%
03/08/2023,162.17,162.51,163.26,162.08,,-0.30%
03/09/2023,161.46,162.08,162.3,160.26,,-0.44%
03/10/2023,160.46,161.47,161.47,158.43,,-0.62%
03/13/2023,153.46,160.04,160.04,151.13,,-4.36%
03/14/2023,155.77,153.65,156.37,151.15,,1.51%
03/15/2023,145.16,155.62,155.62,144.96,,-6.81%
03/16/2023,143.45,147.38,147.84,140.36,,-1.18%
03/17/2023,143.45,143.62,148.98,142.37,,0.00%
03/20/2023,145.14,142.72,146.41,139.82,,1.18%
03/21/2023,148.66,145.13,150.5,145.13,,2.43%
03/22/2023,148.52,149.17,149.58,147.81,,-0.09%
03/23/2023,146.25,148.16,148.16,146.24,,-1.53%
03/24/2023,142.43,146.1,146.1,139.68,,-2.61%
03/27/2023,144.55,142.63,145.49,142.27,,1.49%
03/28/2023,147.45,145.45,148.06,145.45,,2.01%
03/29/2023,148.53,147.47,149,147.33,,0.73%
03/30/2023,149.58,148.45,150.83,147.9,,0.71%
03/31/2023,149.53,149.8,150.28,148.49,,-0.03%
04/03/2023,156.31,149.65,158.01,149.65,,4.53%
04/04/2023,154.03,156.58,157.23,153.99,,-1.46%
04/05/2023,154.72,154.02,155.37,153.7,,0.45%
04/06/2023,155.88,155,156.94,155,,0.75%
04/07/2023,155.88,155.88,155.88,155.88,,0.00%
04/10/2023,155.99,155.99,155.99,155.99,,0.07%
04/11/2023,157.45,156.06,158.47,156.06,,0.94%
04/12/2023,157.63,157.43,159.01,157.24,,0.11%
04/13/2023,157.44,157.71,158.01,156.73,,-0.12%
04/14/2023,157.96,157.44,158.85,156.7,,0.33%
04/17/2023,158.21,158.43,160.03,158.14,,0.16%
04/18/2023,158.12,158.32,158.95,156.72,,-0.06%
04/19/2023,156.63,158.01,158.01,155.57,,-0.94%
04/20/2023,155.51,156.3,156.3,154.72,,-0.72%
04/21/2023,155.44,155.53,156.18,154.76,,-0.05%
