Date,Price,Open,High,Low,Vol.,Change %
23/12/2022,70.44,70.26,70.84,70.12,748.90K,0.26%
27/12/2022,70.26,70.54,70.58,70,599.03K,-0.26%
28/12/2022,70.44,70.24,70.52,69.94,714.32K,0.26%
29/12/2022,71.08,70.24,71.08,69.72,691.85K,0.91%
30/12/2022,70.94,70.86,71.2,70.64,1.01M,-0.20%
02/01/2023,70.8,70.94,71.12,70.68,411.65K,-0.20%
03/01/2023,71.34,70.9,71.48,70.54,906.35K,0.76%
04/01/2023,72.76,71.42,72.92,71.4,1.60M,1.99%
05/01/2023,72.94,72.8,73.36,72.56,1.48M,0.25%
06/01/2023,73.68,73.08,73.72,72.62,946.65K,1.01%
09/01/2023,73.32,73.72,73.8,73.02,937.34K,-0.49%
10/01/2023,72.88,72.94,73.4,72.66,1.41M,-0.60%
11/01/2023,72.8,72.52,73.16,72.26,1.23M,-0.11%
12/01/2023,73.4,73,73.6,72.84,1.21M,0.82%
13/01/2023,73.1,73.8,73.84,72.8,971.31K,-0.41%
16/01/2023,73,73,73.1,72.38,844.04K,-0.14%
17/01/2023,73.34,72.76,73.34,72.76,1.12M,0.47%
18/01/2023,72.88,73.32,73.64,72.78,1.01M,-0.63%
19/01/2023,72.88,72.26,72.88,72.2,1.36M,0.00%
20/01/2023,73.18,73,73.66,72.92,1.17M,0.41%
23/01/2023,73.62,73.26,73.9,73.24,833.79K,0.60%
24/01/2023,73.66,73.76,73.98,73.4,791.20K,0.05%
25/01/2023,73.72,73.76,73.94,73.42,882.39K,0.08%
26/01/2023,73.18,73.88,74.36,73.06,789.84K,-0.73%
27/01/2023,73.2,73.36,73.5,72.82,1.09M,0.03%
30/01/2023,74.28,73.22,74.38,73.14,1.04M,1.48%
31/01/2023,74.42,74.32,75.12,74.32,1.70M,0.19%
01/02/2023,74.58,74.44,74.58,74.12,2.22M,0.22%
02/02/2023,74.56,74.74,75.8,74.04,1.43M,-0.03%
03/02/2023,74.72,74.5,75.16,74.48,1.06M,0.21%
06/02/2023,74.82,75,75,74.22,749.00K,0.13%
07/02/2023,74.64,74.66,75.1,74.48,839.33K,-0.24%
08/02/2023,74.94,74.64,75.16,74.2,979.08K,0.40%
09/02/2023,74.68,74.98,75.22,74.3,1.03M,-0.35%
10/02/2023,74.06,74.54,74.66,73.66,1.41M,-0.83%
13/02/2023,74.2,74.28,74.36,73.78,1.45M,0.19%
14/02/2023,69.44,70,70.5,67.66,6.33M,-6.42%
15/02/2023,70.12,70,70.96,69.58,1.63M,0.98%
16/02/2023,69.9,70.26,70.5,69.78,1.67M,-0.31%
17/02/2023,70.64,70.32,70.68,69.82,1.58M,1.06%
20/02/2023,70.18,71.08,71.08,70.16,922.40K,-0.65%
21/02/2023,69.26,70.1,70.24,69.24,1.20M,-1.31%
22/02/2023,70.1,69.22,70.1,69.22,1.39M,1.21%
23/02/2023,69.58,70,70.32,69.58,711.12K,-0.74%
24/02/2023,69.48,69.58,69.78,69.28,976.16K,-0.14%
27/02/2023,69.96,69.44,70,69.4,887.31K,0.69%
28/02/2023,69.92,69.94,70.08,69.66,2.25M,-0.06%
