Date,Interest Rate
Jan-00,7.07
Jun-00,7.01
Jan-01,13.34
Jun-01,9.27
Jan-02,80.84
Jun-02,91.19
Jan-03,6.11
Jun-03,3.71
Jan-04,1.36
Jun-04,3.3
Jan-05,2.18
Jun-05,4.66
Jan-06,8.02
Jun-06,7.19
Jan-07,9.21
Jun-07,10.53
Jan-08,8.12
Jun-08,10.27
Jan-09,14.04
Jun-09,11
Jan-10,9.03
Jun-10,8.89
Jan-11,9.7
Jun-11,9.53
Jan-12,9.63
Jun-12,9.3
Jan-13,10.81
Jun-13,13.24
Jan-14,16.15
Jun-14,22.51
Jan-15,21.83
Jun-15,23.86
Jan-16,18
Jun-16,29
Jan-17,22.75
Jun-17,24.25
Jan-18,26
Jun-18,35
Jan-19,46.53
Jun-19,64.97
Jan-20,45.5
Jun-20,19
Jan-21,32
Jun-21,32
Jan-22,32
Jun-22,40.5
Jan-23,70
Jun-23,91
Jan-24,126
Jun-24,40
Jan-25,29
